,OC_omid,issn
4929,062303660516,"['0022-006X', '0095-8891']"
4946,0623055957,"['0002-7189', '1477-4585']"
4947,0623055957,"['1477-4585', '0002-7189']"
4952,06230603698,['1559-1786']
4997,062401234528,['2719-9452']
5029,062401423700,['2304-3385']
5111,062401882389,['0192-2882']
5243,062403104275,['0873-626X']
5257,062403659224,"['0095-8891', '0022-006X']"
5261,062403783734,"['0969-5931', '0962-9262']"
5297,06240586457,['1558-9587']
5351,062501350516,['0094-1700']
5410,062501673810,['0018-2176']
5447,062501868730,['2686-6730']
5451,062501899019,['2227-538X']
5519,062502099338,['0095-5809']
5547,062502378763,['2392-7054']
5552,062502442614,['2282-4979']
5607,062503648051,"['0095-8891', '0022-006X']"
5710,062601522670,['2545-8566']
5766,062601789866,['2080-0150']
5801,06260188967,['1536-0172']
5845,062602009540,['2391-4491']
5853,062602028051,['1133-682X']
5859,062602105178,['1805-9635']
5870,062602154917,['0028-6087']
5879,062602230646,['2458-8342']
5929,062603543359,"['2750-977X', '1019-8288']"
5936,062603668953,['0018-2257']
5969,0626051136,['0097-8507']
6027,06260996883,['0149-7952']
6031,0628025449,['0347-772X']
6044,06301040615,['1521-4281']
6101,06301539623,['2070-8955']
6172,0630209675,['0003-5491']
6176,06302121421,['1543-7809']
6194,06302168976,['2588-7068']
6200,06302210892,['1080-6504']
6270,06302450904,['1641-7844']
6273,06302485857,['0095-6848']
6344,06303289520,['0732-7730']
6345,06303295027,['0168-275X']
6370,06303880236,['2169-0251']
6390,06304069308,['0021-843X']
6396,06304235348,"['1937-1217', '1937-1209']"
6397,06304236319,['2214-594X']
6461,0631014273,['2602-4934']
6479,0634011786,['1935-0201']
6500,0638034123,['1405-8626']
6596,06401623639,['2000-4389']
6605,06401625120,['2543-831X']
6663,06401794869,['1993-0909']
6700,06402138347,['2250-4087']
6738,06402225561,['1080-6520']
6859,06403515421,['0882-8539']
6870,06403922619,"['0094-1700', '2155-8450']"
6871,06403954454,['1543-7809']
6875,06404074772,"['0021-843X', '0096-851X']"
6897,064048364,['2084-0845']
7090,06501662178,['2709-8877']
7129,06501830063,['1684-4904']
7169,06502192352,['1540-7942']
7196,06502240437,"['1450-6718', '2683-5649']"
7215,06502301221,['2413-7715']
7346,06504060744,['0007-5140']
7347,06504081685,"['0021-843X', '0096-851X']"
7352,06504190634,"['0021-9940', '0735-7036']"
7381,0650460681,['2385-8052']
7416,0650780069,['2224-0039']
7430,06601061035,['1085-4908']
7461,06601366127,"['2468-9963', '0328-0101']"
7512,06601775635,['2300-1968']
7514,06601807952,['1948-4747']
